"Customize and Add to Cart","Tilpas og vælg denne Gave",module,Magento_Bundle
"Add to Cart","Vælg denne Gave",module,Magento_CatalogWidget
"Add to Cart","Vælg denne Gave",module,Magento_Catalog
"Add to Cart","Vælg denne Gave",module,Magento_Msrp
"Add to Cart","Vælg denne Gave",module,Magento_Reports
"Add to Cart","Vælg denne Gave",module,Magento_Sales
"Add to Cart","Vælg denne Gave",module,Magento_Wishlist
"Add To Cart","Vælg denne Gave",module,Magento_Catalog
"Manage Addresses",""
"Privacy and Cookie Policy","Privatlivs- og cookiepolitik"
"Contact Us","Kontakt Os"
"My Account","Min Konto"
"Sign Out","Log Ud"
"My Cart","Min Kurv"
"Go to Home Page","Gå til forsiden"
"Details","Detaljer"
"Adding...","Tilføjer…"
"Shopping Cart","Kurv"
"My Cart","Min Kurv"
"You added %1 to your shopping cart.","Du lagde %1 i kurven."
"Remove item","Slet produkt"
"Proceed to Checkout","Gennemgå din Bestilling"
"Place Order","Bekræft Bestilling"
"Order Summary","Bestillingsoversigt"
"Thank you for your purchase!","Dit gavevalg er nu bekræftet!"
"Print receipt","Udskriv kvittering"
"Your order number is: %1.","Dit ordrenummer er: %1."
"We'll email you an order confirmation with details and tracking info.","Vi sender dig en email med din ordrebekræftelse."
"Continue Shopping","Gå tilbage til forsiden"
"You have no items in your shopping cart.","Du har ikke nogen gave i kurven."
"Click <a href="%1">here</a> to continue shopping.","Klik <a href="%1">her</a> for at gå tilbage til forsiden."
"You are signed out","Du er blevet logget ud"
"You have signed out and will go to our homepage in 5 seconds.","Du har logget ud og bliver viderestillet til vores loginside i løbet af 5 sekunder."
"Customer Login","Kundelogin"
"Registered Customers","Eksisterende Kunder"
"If you have an account, sign in with your email address.","Hvis du har en konto, skal du logge ind med din email-adresse."
"Password","Adgangskode"
"Sign In","Log Ind"
"Forgot Your Password?","Glemt Adgangskode?"
"* Required Fields","* Markerede felter skal udfyldes"
"Please enter a valid email address (Ex: johndoe@domain.com).","Indtast en gyldig email-adresse (fx jensjensen@domænenavn.dk)."
"This is a required field.","Dette felt skal udfyldes."
"You did not sign in correctly or your account is temporarily disabled.","Du har ikke indtastet de rigtige oplysninger, eller også er din konto midlertidigt deaktiveret"
"Write Us","Skriv til Os"
"Jot us a note and we’ll get back to you as quickly as possible.","Send os en besked, så vender vi tilbage til dig snarest."
"Name","Navn"
"Phone Number","Telefonnummer"
"What’s on your mind?","Din besked"
"Submit","Send"
"Thanks for contact us with your comments and questions. We’ll respond to you very soon.","Tak for din besked. Vi besvarer din henvendelse meget snart."
"Account Information","Kontooplysninger"
"Contact Information","Kontaktoplysninger"
"Edit","Redigér"
"Change Password","Skift Adgangskode"
"Address Book","Adresseoversigt"
"Default Billing Address","Faktureringsadresse"
"Default Shipping Address","Leveringsadresse"
"Recent Orders","Seneste Bestillinger"
"View All","Vis Alle"
"Order #","Ordrenummer"
"Date","Dato"
"Ship To","Leveres Til"
"Order Total","Ordrebeløb"
"Status","Ordrestatus"
"Pending","Ordre Afgivet"
"Processing","Ordre Behandles"
"Action","Foretag en handling"
"View Order","Vis Ordre"
"My Orders","Mine Ordrer"
"Stored Payment Methods","Betalingsmetoder"
"%1 Item","%1 Gave"
"%1 Items","%1 Gaver"
"%1 Item(s)","%1 Gave(r)"
"Show","Vis"
"per page","per side"
"Items Ordered","Bestilte Gaver"
"Product Name","Produktnavn"
"SKU","Varenummer"
"Price","Pris"
"Qty","Antal"
"Ordered","Bestilt"
"Tax","Moms"
"Grand Total","I alt"
"Order Information","Ordreoplysninger"
"Billing Address","Faktureringsadresse"
"Payment Method","Betalingsmetode"
"Order # %1","Ordre # %1"
"Print Order","Udskriv Ordre"
"Default Addresses","Adresser"
"Additional Address Entries","Andre Adresser"
"You have no other address entries in your address book.","Du har ingen andre adresser."
"First Name","Fornavn"
"Last Name","Efternavn"
"Change Email","Skift Email-adresse"
"Save","Gem"
"Edit Account Information","Redigér Kontooplysninger"
"Change Email and Password","Skift Email-adresse og Adgangskode"
"Current Password","Nuværende Adgangskode"
"New Password","Ny Adgangskode"
"Password Strength","Kodestyrke"
"No Password","Ikke en Adgangskode"
"Weak","Svag"
"Strong","Stærk"
"Very Strong","Meget Stærk"
"Confirm New Password","Bekræft Ny Adgangskode"
"Please enter the same value again.","De indtastede adgangskoder skal være ens."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Adgangskoden skal være mindst %1 tegn. Mellemrum foran og bag adgangskoden bliver ignoreret."
"The password doesn’t match this account.","Den indtastede adgangskode svarer ikke til denne konto."
"You saved the account information.","Dine nye kontooplysninger er blevet gemt."
"You have no stored payment methods.","Du har ingen gemte betalingsmetoder."
"Forgot Your Password","Glemt Adgangskode"
"Please enter your email address below to receive a password reset link.","Indtast din email-adresse nedenunder. Herefter sender vi dig en email med et link til at nulstille din adgangskode."
"Reset My Password","Nulstil Min Adgangskode"
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Hvis der findes en konto tilknyttet %1, vil du modtage en email med et link til at nulstille din adgangskode."
"Set a New Password","Vælg en Ny Adgangskode"
"You updated your password.","Du har opdateret din adgangskode."
"Welcome, %1!","Velkommen, %1!"
